company_id,company_name,industry,state,company_age_years,annual_revenue_cr,ebitda_cr,net_profit_cr,total_debt_cr,net_worth_cr,capacity_utilization_pct,employee_count,gst_turnover_cr,bank_credit_flow_cr,litigation_cases,auditor_flag,promoter_experience_years,past_default_flag,industry_risk_score,news_sentiment_score,collateral_value_cr,credit_rating,loan_amount_requested_cr,debt_to_ebitda,profit_margin_pct,gst_bank_gap_cr,collateral_coverage_ratio
13,Corp_13,Retail,Punjab,24,322.39,68.56,-1.13,32.49,608.56,63.7,815,1186.69,767.57,7,0,7,0,5,-2,478.89,BB,212.92,0.47,-0.35,419.12,2.25
14,Corp_14,Chemicals,Maharashtra,11,228.35,156.65,17.14,268.87,55.24,90.7,1932,891.9,831.54,3,0,28,0,4,-4,527.05,BB,80.92,1.72,7.51,60.36,6.51
15,Corp_15,Steel,Telangana,34,1087.32,203.13,91.82,284.67,245.83,66.6,2003,535.45,797.11,1,0,29,1,5,-1,238.22,A,11.4,1.4,8.44,-261.66,20.9
16,Corp_16,Textiles,Rajasthan,14,277.43,4.29,-15.96,655.08,138.09,90.5,4212,287.47,525.08,6,0,5,0,6,5,248.15,B,299.84,152.7,-5.75,-237.61,0.83
17,Corp_17,Retail,Tamil Nadu,34,515.87,176.87,26.4,407.03,562.89,58.9,4436,1214.69,312.38,4,1,5,0,6,3,396.91,BB,81.13,2.3,5.12,902.31,4.89
18,Corp_18,Textiles,Telangana,12,183.83,53.3,89.24,55.64,498.81,71.6,2350,243.53,873.57,6,0,33,0,9,3,277.69,AA,113.69,1.04,48.54,-630.04,2.44
19,Corp_19,Retail,Uttar Pradesh,5,716.76,104.16,105.35,5.77,547.82,91.4,4903,689.64,1166.92,0,0,18,1,5,4,664.94,A,253.27,0.06,14.7,-477.28,2.63
20,Corp_20,Chemicals,Uttar Pradesh,31,1124.88,157.03,-17.1,500.11,42.62,91.6,428,293.18,1078.1,4,0,34,1,6,3,390.8,A,210.72,3.18,-1.52,-784.92,1.85
21,Corp_21,IT Services,Delhi,15,115.56,32.54,92.3,312.52,430.04,68.0,2572,1006.47,131.31,4,0,30,0,6,-5,469.03,BB,59.22,9.6,79.87,875.16,7.92
22,Corp_22,Auto Components,Karnataka,27,517.06,181.04,75.37,688.24,714.53,50.1,2421,626.56,281.94,4,0,27,0,7,-2,837.11,B,276.85,3.8,14.58,344.62,3.02
23,Corp_23,Infrastructure,Karnataka,25,1086.05,91.07,91.23,564.16,509.87,79.5,1681,258.14,486.42,0,0,29,0,9,4,686.28,AA,78.95,6.19,8.4,-228.28,8.69
24,Corp_24,Infrastructure,Telangana,37,1192.97,15.42,40.08,179.47,649.34,58.6,2000,206.37,301.01,7,0,20,0,4,2,720.85,BB,53.8,11.64,3.36,-94.64,13.4
25,Corp_25,Retail,Gujarat,4,887.14,209.46,6.21,519.4,270.49,56.3,1341,29.7,340.18,2,0,26,0,9,-5,355.69,B,248.85,2.48,0.7,-310.48,1.43
26,Corp_26,Auto Components,Gujarat,29,482.21,79.31,-14.72,432.45,725.88,60.7,1785,793.83,584.54,3,0,11,0,6,3,365.37,AAA,27.63,5.45,-3.05,209.29,13.22
27,Corp_27,Textiles,Delhi,32,545.25,246.76,19.31,443.06,464.62,36.0,627,671.0,341.5,2,0,14,0,9,0,858.99,CCC,123.81,1.8,3.54,329.5,6.94
28,Corp_28,Textiles,Maharashtra,29,479.62,131.99,96.05,591.35,378.66,56.6,4028,289.25,782.91,2,0,25,0,5,2,369.2,B,5.17,4.48,20.03,-493.66,71.41
29,Corp_29,Pharma,Rajasthan,18,1008.01,125.88,83.99,319.54,568.71,85.6,3611,45.46,786.5,6,0,14,0,7,3,872.36,AAA,278.07,2.54,8.33,-741.04,3.14
30,Corp_30,Infrastructure,Haryana,38,446.71,18.28,100.73,16.17,240.33,59.0,1408,1075.73,257.18,7,0,23,0,2,4,639.61,AA,211.07,0.88,22.55,818.55,3.03
31,Corp_31,Food Processing,Rajasthan,33,437.08,177.37,7.83,371.26,232.14,61.2,4878,1073.29,1124.51,1,0,22,0,7,-3,590.47,AAA,211.84,2.09,1.79,-51.22,2.79
32,Corp_32,Chemicals,Gujarat,39,375.26,152.12,2.05,461.65,135.5,55.2,2656,724.7,749.71,4,0,8,1,7,1,274.29,CCC,263.49,3.03,0.55,-25.01,1.04
33,Corp_33,Steel,Tamil Nadu,39,526.58,83.1,69.75,54.6,567.84,89.4,3391,118.74,540.17,3,0,30,0,4,-2,302.33,AA,268.3,0.66,13.25,-421.43,1.13
34,Corp_34,Food Processing,Gujarat,15,1010.06,70.46,13.1,100.92,239.94,48.6,1173,156.06,856.56,1,0,31,0,2,-5,88.66,A,215.21,1.43,1.3,-700.5,0.41
35,Corp_35,Retail,Uttar Pradesh,13,1182.16,185.8,90.59,636.51,548.44,67.0,4663,206.03,1081.35,6,0,15,0,2,-1,180.49,AA,106.62,3.43,7.66,-875.32,1.69
36,Corp_36,IT Services,Gujarat,9,1121.93,6.78,27.3,628.36,245.85,87.4,2479,933.35,435.91,1,0,6,0,4,-4,463.77,B,63.31,92.68,2.43,497.44,7.33
37,Corp_37,IT Services,Karnataka,18,688.73,59.1,61.36,122.27,749.07,73.8,4609,1292.08,1151.11,0,0,20,0,4,-4,372.39,B,78.55,2.07,8.91,140.97,4.74
38,Corp_38,Infrastructure,Telangana,8,393.56,89.54,107.43,587.72,85.78,84.2,795,162.47,948.76,2,0,13,0,3,-1,803.68,B,12.54,6.56,27.3,-786.29,64.09
39,Corp_39,IT Services,Delhi,31,1066.86,66.52,62.29,631.96,175.05,41.7,3682,552.14,160.37,7,0,3,0,6,-3,37.15,BB,298.27,9.5,5.84,391.77,0.12
40,Corp_40,Textiles,Karnataka,14,523.89,212.03,90.24,90.84,826.81,43.6,4103,694.65,128.32,6,1,14,0,8,4,243.45,AA,124.64,0.43,17.22,566.33,1.95
41,Corp_41,Manufacturing,Karnataka,10,114.41,92.22,2.32,628.42,634.81,65.3,373,1095.4,198.81,1,0,23,0,9,5,297.29,BB,26.93,6.81,2.03,896.59,11.04
42,Corp_42,Textiles,Delhi,8,438.58,163.55,17.02,614.2,811.69,91.6,1774,940.76,1200.49,7,0,28,0,8,-3,747.35,AA,293.56,3.76,3.88,-259.73,2.55
43,Corp_43,Textiles,Uttar Pradesh,9,339.54,214.78,70.17,510.69,107.64,37.0,3181,1072.7,697.11,1,0,30,0,3,2,441.85,BBB,299.58,2.38,20.67,375.59,1.47
44,Corp_44,Chemicals,Gujarat,38,241.62,135.68,13.1,355.34,75.28,61.1,1291,1160.48,1165.26,1,0,10,0,1,2,585.02,AA,126.6,2.62,5.42,-4.78,4.62
45,Corp_45,Retail,Tamil Nadu,15,969.03,94.28,-12.38,69.5,99.44,61.7,4187,809.28,337.31,4,1,7,0,8,2,824.28,AA,62.87,0.74,-1.28,471.97,13.11
46,Corp_46,Retail,Punjab,7,566.07,15.03,57.82,129.97,759.93,93.5,4323,1086.45,121.66,5,0,32,0,3,-4,566.15,CCC,85.64,8.65,10.21,964.79,6.61
47,Corp_47,Food Processing,Haryana,32,488.25,13.3,71.5,670.25,864.87,54.2,214,649.6,650.47,4,0,27,0,9,-1,870.94,BB,158.65,50.39,14.64,-0.87,5.49
48,Corp_48,IT Services,Rajasthan,3,936.67,71.36,63.02,361.66,279.98,88.6,3971,93.22,804.57,4,0,34,0,8,4,456.61,BBB,100.97,5.07,6.73,-711.35,4.52
49,Corp_49,Textiles,Haryana,4,497.83,89.01,49.95,330.03,485.32,85.1,2311,303.31,912.48,6,0,28,0,6,3,454.99,AA,35.27,3.71,10.03,-609.17,12.9
50,Corp_50,Retail,Tamil Nadu,32,364.11,168.63,-19.73,683.83,686.31,58.8,1180,1245.59,204.04,3,0,29,0,9,1,443.29,AAA,127.23,4.06,-5.42,1041.55,3.48
51,Corp_51,Retail,Delhi,34,1179.77,145.75,45.99,360.44,36.26,94.4,4149,525.24,194.41,0,1,19,0,1,2,543.0,BBB,256.44,2.47,3.9,330.83,2.12
52,Corp_52,Retail,Maharashtra,7,606.94,21.33,85.83,73.28,187.27,63.6,2984,667.82,672.61,1,0,22,0,9,4,11.98,BBB,79.49,3.44,14.14,-4.79,0.15
53,Corp_53,Textiles,Tamil Nadu,24,1060.39,237.86,113.45,247.89,235.2,60.2,1121,1259.65,755.1,3,0,25,0,8,-1,351.66,AAA,184.04,1.04,10.7,504.55,1.91
54,Corp_54,Auto Components,Tamil Nadu,23,245.53,48.26,-19.95,555.19,614.43,76.9,534,913.21,394.92,5,0,27,0,3,0,789.71,B,134.7,11.5,-8.13,518.29,5.86
55,Corp_55,Steel,Maharashtra,16,603.14,81.33,102.28,244.1,655.27,69.8,2092,547.81,343.29,0,0,15,0,1,3,223.64,AA,280.83,3.0,16.96,204.52,0.8
56,Corp_56,IT Services,Delhi,31,720.03,197.34,63.83,331.77,386.74,92.3,2312,901.14,202.62,5,0,21,0,2,4,649.35,B,274.86,1.68,8.86,698.52,2.36
57,Corp_57,Manufacturing,Delhi,12,776.26,129.91,109.07,511.86,597.68,89.2,681,724.56,177.05,4,0,32,0,2,3,160.3,A,191.71,3.94,14.05,547.51,0.84
58,Corp_58,IT Services,Punjab,29,64.99,211.97,51.79,468.66,593.41,69.2,4144,1249.06,658.51,4,0,24,0,5,3,551.32,A,151.65,2.21,79.69,590.55,3.64
59,Corp_59,Manufacturing,Gujarat,25,1156.7,101.25,47.33,152.4,101.84,35.1,1017,38.6,257.16,1,0,21,0,4,-5,5.24,BB,150.19,1.51,4.09,-218.56,0.03
60,Corp_60,IT Services,Tamil Nadu,6,854.73,105.11,118.43,308.0,525.06,51.3,3449,646.51,864.07,7,0,34,0,4,0,498.34,CCC,81.18,2.93,13.86,-217.56,6.14
61,Corp_61,Steel,Karnataka,4,954.94,165.1,82.19,218.0,697.8,60.5,1767,908.63,109.76,6,0,5,0,2,-4,190.28,BBB,278.02,1.32,8.61,798.87,0.68
62,Corp_62,IT Services,Delhi,36,973.19,173.13,68.36,369.26,126.18,57.6,69,727.02,869.44,0,0,34,0,9,-3,870.1,AAA,64.78,2.13,7.02,-142.42,13.43
63,Corp_63,Manufacturing,Uttar Pradesh,10,1147.53,155.03,-5.49,196.62,783.56,90.3,2765,425.87,352.99,3,0,16,1,3,-3,145.89,BBB,297.12,1.27,-0.48,72.88,0.49
64,Corp_64,Food Processing,Karnataka,32,234.75,71.93,18.78,219.69,594.43,37.6,4994,779.77,1103.39,4,0,9,0,3,-3,793.83,BBB,139.21,3.05,8.0,-323.62,5.7
65,Corp_65,Auto Components,Gujarat,26,1090.15,191.68,-6.02,569.38,228.48,88.7,2159,57.89,338.13,0,0,10,0,7,1,829.89,BB,55.51,2.97,-0.55,-280.24,14.95
66,Corp_66,Food Processing,Karnataka,18,224.17,213.9,48.91,244.18,588.03,54.0,2051,985.73,647.29,2,0,8,0,5,3,795.62,A,64.19,1.14,21.82,338.44,12.39
67,Corp_67,Manufacturing,Delhi,20,131.24,205.27,6.12,460.56,599.05,62.6,2384,874.04,480.11,3,0,29,0,7,0,528.53,AA,64.09,2.24,4.66,393.93,8.25
68,Corp_68,Pharma,Rajasthan,4,210.13,157.43,-0.54,412.81,273.45,69.0,1371,464.54,703.85,6,0,8,0,5,0,401.06,BB,221.85,2.62,-0.26,-239.31,1.81
69,Corp_69,IT Services,Punjab,13,532.37,178.47,1.29,501.12,673.29,94.6,4431,1159.34,1160.92,0,0,17,0,6,0,10.41,BBB,243.27,2.81,0.24,-1.58,0.04
70,Corp_70,Pharma,Haryana,5,778.16,147.39,34.76,662.68,677.98,66.7,3229,957.83,1205.13,4,1,11,0,3,-3,275.07,AA,128.97,4.5,4.47,-247.3,2.13
71,Corp_71,Pharma,Gujarat,10,783.81,171.3,46.04,507.87,855.56,82.0,1524,324.14,324.36,3,0,9,0,8,1,822.23,BBB,154.92,2.96,5.87,-0.22,5.31
72,Corp_72,Auto Components,Uttar Pradesh,28,1073.96,46.6,39.25,133.06,690.67,87.3,1221,485.54,37.11,2,0,24,0,6,0,147.55,B,11.35,2.86,3.65,448.43,13.0
73,Corp_73,Retail,Rajasthan,2,877.98,95.05,12.09,553.27,479.57,93.0,356,110.1,959.19,3,0,33,0,3,1,541.68,AAA,85.01,5.82,1.38,-849.09,6.37
74,Corp_74,IT Services,Uttar Pradesh,25,1191.47,17.87,19.8,451.49,446.82,49.1,155,922.87,236.76,1,0,28,0,1,0,469.85,AAA,235.94,25.27,1.66,686.11,1.99
75,Corp_75,Textiles,Delhi,14,337.47,161.53,84.23,174.01,228.55,84.3,4768,292.29,286.31,2,0,12,1,2,-4,523.37,BB,96.36,1.08,24.96,5.98,5.43
76,Corp_76,Food Processing,Karnataka,12,831.74,135.16,27.55,442.97,612.09,78.9,4651,591.73,1027.44,3,0,17,0,1,5,348.8,A,69.61,3.28,3.31,-435.71,5.01
77,Corp_77,Food Processing,Telangana,35,518.09,188.37,58.81,192.29,156.49,79.6,958,613.38,865.33,4,1,7,0,4,2,672.51,BBB,172.73,1.02,11.35,-251.95,3.89
78,Corp_78,IT Services,Haryana,12,599.19,193.02,50.93,585.46,318.47,84.4,1045,456.41,688.25,4,0,31,0,9,-2,709.31,BB,201.74,3.03,8.5,-231.84,3.52
79,Corp_79,Steel,Telangana,17,726.44,65.94,70.69,252.34,146.83,57.1,4578,889.35,186.72,3,0,18,0,5,-4,461.0,AA,137.91,3.83,9.73,702.63,3.34
80,Corp_80,Auto Components,Rajasthan,28,785.38,24.76,65.66,697.22,541.74,65.3,1444,1262.62,881.61,4,1,26,0,9,-2,245.16,AAA,112.82,28.16,8.36,381.01,2.17
81,Corp_81,IT Services,Karnataka,3,478.53,59.86,7.63,307.93,139.5,84.2,1520,176.91,531.24,3,0,5,0,3,4,48.58,A,283.26,5.14,1.59,-354.33,0.17
82,Corp_82,Textiles,Uttar Pradesh,17,374.33,247.18,-2.78,449.97,737.72,35.2,4384,733.52,38.81,0,0,9,0,9,5,505.0,B,170.29,1.82,-0.74,694.71,2.97
83,Corp_83,Steel,Tamil Nadu,18,54.33,109.14,66.11,490.19,756.21,62.5,2260,215.34,151.39,1,0,26,0,2,3,276.51,AA,125.22,4.49,121.68,63.95,2.21
84,Corp_84,Infrastructure,Punjab,32,900.98,79.42,52.63,355.34,779.7,39.1,3409,307.63,329.57,0,0,15,0,4,4,490.45,B,18.99,4.47,5.84,-21.94,25.83
85,Corp_85,Chemicals,Punjab,15,1063.26,133.19,54.31,360.69,747.76,65.5,1959,608.59,1178.4,1,0,23,0,9,-3,885.75,A,32.0,2.71,5.11,-569.81,27.68
86,Corp_86,Retail,Punjab,36,854.16,81.31,55.35,511.49,285.67,70.3,4017,242.09,26.02,1,0,14,1,9,-1,255.77,B,167.39,6.29,6.48,216.07,1.53
87,Corp_87,Pharma,Haryana,36,370.62,210.89,-3.11,546.09,812.69,66.7,2665,192.99,61.26,6,0,17,0,7,1,32.67,BB,148.42,2.59,-0.84,131.73,0.22
88,Corp_88,Retail,Tamil Nadu,35,1074.21,13.46,96.17,533.42,676.16,79.3,4004,827.57,58.13,3,0,5,0,6,-3,871.06,AA,95.19,39.63,8.95,769.44,9.15
89,Corp_89,IT Services,Tamil Nadu,32,610.2,176.9,113.08,134.53,660.95,60.6,286,924.12,222.86,0,1,26,0,5,-3,65.6,AA,73.07,0.76,18.53,701.26,0.9
90,Corp_90,Infrastructure,Rajasthan,29,981.58,3.53,73.3,576.56,602.05,43.8,3939,1150.09,57.69,7,0,4,0,3,-4,19.97,CCC,218.51,163.33,7.47,1092.4,0.09
91,Corp_91,Chemicals,Uttar Pradesh,36,768.39,224.13,88.59,430.79,194.28,68.7,2756,411.32,529.29,2,0,12,0,2,5,861.31,CCC,228.27,1.92,11.53,-117.97,3.77
92,Corp_92,Chemicals,Maharashtra,10,1149.85,163.06,53.53,222.72,379.91,89.4,1321,1125.32,439.37,4,0,12,0,5,-1,727.99,AA,149.43,1.37,4.66,685.95,4.87
93,Corp_93,Auto Components,Rajasthan,7,665.67,201.6,52.6,272.26,347.31,77.7,2375,41.14,185.26,4,0,26,0,8,1,514.85,AA,205.56,1.35,7.9,-144.12,2.5
94,Corp_94,Chemicals,Uttar Pradesh,18,1133.98,176.16,23.53,641.92,282.57,63.1,2153,461.8,1110.88,4,0,19,0,8,2,152.55,AA,136.68,3.64,2.07,-649.08,1.12
95,Corp_95,Auto Components,Telangana,4,515.02,240.55,94.37,38.94,856.64,78.0,4439,340.44,328.01,1,0,3,0,7,-4,508.44,CCC,92.8,0.16,18.32,12.43,5.48
96,Corp_96,Retail,Gujarat,12,773.51,132.08,-18.4,404.24,362.77,38.2,4806,457.14,785.01,0,0,31,0,1,-3,107.62,CCC,110.19,3.06,-2.38,-327.87,0.98
97,Corp_97,Manufacturing,Uttar Pradesh,38,225.48,203.01,54.48,177.63,676.9,58.9,4104,955.86,123.3,4,0,3,0,1,1,702.02,B,92.94,0.87,24.16,832.56,7.55
98,Corp_98,Auto Components,Uttar Pradesh,18,1153.66,150.49,102.44,192.73,270.46,56.1,4094,1202.79,1247.51,1,0,4,0,5,0,749.32,BBB,251.66,1.28,8.88,-44.72,2.98
99,Corp_99,Steel,Rajasthan,34,1123.07,231.88,110.69,248.71,602.55,35.3,4400,358.7,720.74,2,0,33,0,3,-5,507.37,AAA,65.9,1.07,9.86,-362.04,7.7
100,Corp_100,Steel,Haryana,20,1090.42,89.35,73.62,541.8,356.68,66.8,1286,782.72,71.15,7,1,16,0,7,0,438.89,BB,237.37,6.06,6.75,711.57,1.85
101,Corp_101,Food Processing,Telangana,3,946.25,34.0,62.07,192.87,636.81,66.0,4130,1021.29,808.67,4,0,7,0,1,2,228.22,BBB,144.05,5.67,6.56,212.62,1.58
102,Corp_102,Food Processing,Maharashtra,37,425.1,27.31,119.15,590.98,87.94,50.7,3818,872.99,1170.77,1,0,17,0,9,-5,563.31,BB,16.02,21.64,28.03,-297.78,35.16
103,Corp_103,Textiles,Uttar Pradesh,17,453.91,26.51,-10.94,615.28,354.11,39.7,3604,490.01,926.2,5,0,11,1,8,-4,41.75,BBB,166.4,23.21,-2.41,-436.19,0.25
104,Corp_104,Chemicals,Telangana,20,383.25,23.77,15.03,214.08,249.01,92.8,1397,891.33,933.37,6,0,12,0,3,-4,707.64,A,248.92,9.01,3.92,-42.04,2.84
105,Corp_105,Pharma,Maharashtra,15,621.36,101.59,43.4,471.0,119.97,71.2,4019,135.84,696.64,0,0,7,0,4,2,620.91,BB,155.93,4.64,6.98,-560.8,3.98
106,Corp_106,Chemicals,Tamil Nadu,18,280.52,121.4,42.47,290.18,580.72,64.4,418,731.35,733.76,6,0,12,0,5,0,443.92,AAA,151.23,2.39,15.14,-2.41,2.94
107,Corp_107,Infrastructure,Rajasthan,33,1165.97,134.11,99.47,583.55,372.04,65.8,2042,1245.54,741.68,7,0,24,0,3,-5,98.24,CCC,38.06,4.35,8.53,503.86,2.58
108,Corp_108,Pharma,Haryana,28,1176.12,154.7,71.44,106.18,580.82,67.8,821,458.67,381.12,5,0,12,0,1,3,300.26,BB,145.77,0.69,6.07,77.55,2.06
109,Corp_109,Steel,Karnataka,17,215.26,36.46,3.35,699.5,824.25,71.5,3166,507.54,113.97,5,0,13,0,9,-3,38.64,CCC,76.56,19.19,1.56,393.57,0.5
110,Corp_110,Manufacturing,Punjab,12,648.3,22.06,62.91,270.92,694.95,60.7,3380,276.86,427.28,5,1,10,0,3,5,266.0,BBB,188.0,12.28,9.7,-150.42,1.41
111,Corp_111,Chemicals,Rajasthan,11,837.32,31.48,96.38,651.48,157.81,51.5,2659,487.85,1045.85,7,0,13,0,8,0,746.51,CCC,14.9,20.7,11.51,-558.0,50.1
112,Corp_112,Manufacturing,Maharashtra,31,238.51,163.38,-13.05,657.88,693.05,82.2,158,146.13,689.32,4,1,31,0,9,-5,521.06,CCC,243.9,4.03,-5.47,-543.19,2.14
113,Corp_113,Auto Components,Punjab,19,87.62,192.61,-9.46,198.48,807.88,86.4,2238,212.53,117.29,2,0,17,1,6,2,382.59,A,186.53,1.03,-10.8,95.24,2.05
114,Corp_114,Manufacturing,Uttar Pradesh,12,934.09,27.68,56.85,666.55,762.15,78.4,2374,856.71,656.14,2,0,29,0,6,-4,171.89,CCC,177.13,24.08,6.09,200.57,0.97
115,Corp_115,Chemicals,Delhi,26,127.25,196.36,48.88,117.61,779.22,39.2,4667,548.67,196.72,5,0,25,0,1,-3,381.36,B,21.7,0.6,38.41,351.95,17.57
116,Corp_116,Food Processing,Punjab,2,153.59,107.21,103.61,249.42,842.58,94.9,2549,798.25,95.25,3,0,24,0,7,-3,761.36,A,161.6,2.33,67.46,703.0,4.71
117,Corp_117,Infrastructure,Tamil Nadu,29,953.31,138.27,-9.98,367.69,99.19,56.2,1227,1232.22,339.54,5,0,25,1,7,5,45.1,A,94.27,2.66,-1.05,892.68,0.48
118,Corp_118,Chemicals,Uttar Pradesh,11,66.82,101.22,2.54,277.72,651.82,84.5,2898,585.64,949.04,4,0,4,0,8,-1,356.33,A,268.09,2.74,3.8,-363.4,1.33
119,Corp_119,Auto Components,Gujarat,20,680.33,160.42,-14.24,230.41,181.25,79.1,4749,1205.03,690.27,7,1,12,0,6,3,202.04,AA,294.56,1.44,-2.09,514.76,0.69
120,Corp_120,Food Processing,Tamil Nadu,37,777.21,201.32,37.69,638.16,577.64,76.7,2910,512.8,37.29,4,0,31,0,4,0,873.04,B,111.27,3.17,4.85,475.51,7.85
121,Corp_121,Retail,Maharashtra,5,345.62,21.46,119.49,365.21,775.85,61.3,2493,777.14,869.46,6,0,14,0,4,5,584.23,BBB,192.62,17.02,34.57,-92.32,3.03
122,Corp_122,Auto Components,Telangana,26,388.01,132.43,-11.6,63.31,61.33,68.0,4541,356.66,1198.09,0,0,4,0,6,5,148.33,A,90.55,0.48,-2.99,-841.43,1.64
123,Corp_123,Steel,Haryana,21,352.83,81.99,30.12,468.01,661.18,69.1,4663,773.39,580.41,6,0,15,1,5,-4,90.58,B,95.57,5.71,8.54,192.98,0.95
124,Corp_124,Food Processing,Haryana,6,120.07,73.86,-14.74,662.86,429.58,63.6,4137,551.24,116.14,4,0,24,0,2,5,518.41,BBB,209.27,8.97,-12.28,435.1,2.48
125,Corp_125,Chemicals,Delhi,8,255.18,34.86,27.28,560.51,252.18,76.9,3894,1087.65,597.17,4,1,14,0,7,5,794.65,B,15.57,16.08,10.69,490.48,51.04
126,Corp_126,Infrastructure,Karnataka,10,1050.41,128.03,82.06,142.3,873.83,63.6,526,103.35,727.71,2,1,30,0,3,-2,864.77,BB,109.96,1.11,7.81,-624.36,7.86
127,Corp_127,Manufacturing,Gujarat,37,795.61,169.08,-2.28,226.15,289.1,55.5,1279,598.07,617.72,3,0,31,1,2,5,119.57,A,22.33,1.34,-0.29,-19.65,5.35
128,Corp_128,Auto Components,Delhi,19,453.98,61.63,-5.46,158.87,258.26,74.2,4373,485.99,182.0,6,0,27,0,3,-3,498.92,BB,233.3,2.58,-1.2,303.99,2.14
129,Corp_129,Auto Components,Maharashtra,26,582.75,108.85,-10.21,158.16,696.65,75.5,2168,931.38,1123.57,2,1,28,0,6,4,668.06,CCC,261.93,1.45,-1.75,-192.19,2.55
130,Corp_130,Infrastructure,Karnataka,38,835.27,8.41,109.05,42.97,352.93,45.2,4928,174.44,1217.91,2,0,25,0,3,4,46.47,B,159.31,5.11,13.06,-1043.47,0.29
131,Corp_131,IT Services,Haryana,29,923.8,148.75,20.91,516.82,703.16,47.3,4830,294.04,392.11,3,0,14,0,2,5,466.85,A,234.64,3.47,2.26,-98.07,1.99
132,Corp_132,Retail,Uttar Pradesh,15,310.91,110.9,116.44,583.73,437.27,50.9,2262,608.82,1138.26,6,0,23,0,6,2,318.37,CCC,75.94,5.26,37.45,-529.44,4.19
133,Corp_133,Retail,Gujarat,23,405.81,50.43,26.67,653.24,327.11,78.3,4805,1096.45,1225.94,7,0,16,0,8,-5,558.56,BBB,145.75,12.95,6.57,-129.49,3.83
134,Corp_134,Food Processing,Tamil Nadu,22,390.17,53.43,-13.41,362.04,51.43,85.0,1412,1276.22,1019.04,0,0,29,1,4,3,721.67,BBB,89.74,6.78,-3.44,257.18,8.04
135,Corp_135,Steel,Maharashtra,37,1065.02,184.92,116.12,486.67,402.17,60.2,2954,909.47,934.25,5,1,6,0,2,5,394.21,CCC,185.09,2.63,10.9,-24.78,2.13
136,Corp_136,Retail,Telangana,4,564.82,224.82,102.58,182.5,133.81,40.1,3632,1066.37,174.03,5,0,33,0,3,2,145.39,A,84.45,0.81,18.16,892.34,1.72
137,Corp_137,Auto Components,Punjab,9,93.82,120.44,36.77,82.57,706.3,83.9,2396,944.3,461.91,5,0,22,0,4,3,297.38,CCC,146.67,0.69,39.19,482.39,2.03
138,Corp_138,Food Processing,Telangana,31,1111.44,31.94,53.49,230.35,797.28,75.4,324,147.41,873.4,1,0,10,0,2,-5,882.8,AA,87.26,7.21,4.81,-725.99,10.12
